"habitants","municipi"
"183","ABELLA DE LA CONCA"
"12538","ABRERA"
"580","AGER"
"5411","AGRAMUNT"
"282","AGUILAR DE SEGARRA"
"863","AGULLANA"
"2512","AIGUAFREDA"
"930","AIGUAMURCIA"
"765","AIGUAVIVA"
"2567","AITONA"
"811","ALAMUSS"
"320","ALAS I CERC"
"361","ALBAGES"
"155","ALBANYA"
"2236","ALBATARREC"
"1561","ALBESA"
"744","ALBI"
"2468","ALBINYANA"
"500","ALBIOL"
"759","ALBONS"
"9434","ALCANAR"
"238","ALCANO"
"9707","ALCARRAS"
"3435","ALCOLETGE"
"5144","ALCOVER"
"4147","ALDEA"
"905","ALDOVER"
"893","ALEIXAR"
"9904","ALELLA"
"376","ALFARA DE CARLES"
"2765","ALFARRAS"
"297","ALFES"
"1783","ALFORJA"
"404","ALGERRI"
"3029","ALGUAIRE"
"272","ALINS"
"458","ALIO"
"6826","ALMACELLES"
"305","ALMATRET"
"3357","ALMENAR"
"1341","ALMOSTER"
"132","ALOS DE BALAGUER"
"1593","ALP"
"261","ALPENS"
"6266","ALPICAT"
"414","ALT ANEU"
"5307","ALTAFULLA"
"2332","AMER"
"6866","AMETLLA DE MAR"
"8646","AMETLLA DEL VALLES"
"3277","AMPOLLA"
"21115","AMPOSTA"
"5654","ANGLES"
"1365","ANGLESOLA"
"2126","ARBECA"
"5609","ARBOÇ"
"127","ARBOLI"
"6608","ARBUCIES"
"15941","ARENYS DE MAR"
"9121","ARENYS DE MUNT"
"396","ARGELAGUER"
"219","ARGENÇOLA"
"117","ARGENTERA"
"12536","ARGENTONA"
"951","ARMENTERA"
"444","ARNES"
"60","ARRES"
"81","ARSEGUEL"
"5762","ARTES"
"1535","ARTESA DE LLEIDA"
"3400","ARTESA DE SEGRE"
"1644","ASCO"
"220","ASPA"
"433","AVELLANES I SANTA LINYA"
"2220","AVIA"
"2289","AVINYO"
"1641","AVINYONET DE PUIGVENTOS"
"1697","AVINYONET DEL PENEDES"
"223166","BADALONA"
"13415","BADIA DEL VALLES"
"2140","BAGA"
"331","BAIX PALLARS"
"17472","BALAGUER"
"3840","BALENYA"
"3192","BALSARENY"
"3207","BANYERES DEL PENEDES"
"20053","BANYOLES"
"878","BARBENS"
"471","BARBERA DE LA CONCA"
"33334","BARBERA DEL VALLES"
"1664182","BARCELONA"
"229","BARONIA DE RIALB"
"1001","BASCARA"
"217","BASSELLA"
"1901","BATEA"
"60","BAUSEN"
"7300","BEGUES"
"3891","BEGUR"
"520","BELIANES"
"287","BELLAGUARDA"
