habitants,comarca
44296,Alt Camp
141339,Alt Empordà
108411,Alt Penedès
20177,Alt Urgell
3802,Alta Ribagorça
120738,Anoia
178885,Bages
190973,Baix Camp
77596,Baix Ebre
134359,Baix Empordà
825963,Baix Llobregat
104991,Baix Penedès
2278437,Barcelonès
39446,Berguedà
18192,Cerdanya
20042,Conca de Barberà
150887,Garraf
18833,Garrigues
57590,Garrotxa
193908,Gironès
452690,Maresme
67436,Montsià
38770,Noguera
160821,Osona
13080,Pallars Jussà
6932,Pallars Sobirà
36693,Pla d'Urgell
32293,Pla de l'Estany
9245,Priorat
21865,Ribera d'Ebre
25087,Ripollès
23052,Segarra
209818,Segrià
171617,Selva
13469,Solsonès
256730,Tarragonès
11490,Terra Alta
36693,Urgell
10093,Aran
925237,Vallès Occidental
409638,Vallès Oriental
13603,Moianès
7727029,Catalunya
